948,Cliff Ln,Union City,95533,4
4262,5th St,Mountain View,29818,1
842,60th Ave,Oakland,68088,4
923,7th St,Emeryville,68284,1
1630,4th St,Milpitas,29706,2
4262,5th St,Mountain View,29818,2
8529,Violet Rd,Fremont,90880,3
923,7th St,Emeryville,68284,4
9160,3rd St,Sunnyvale,30057,5
1630,4th St,Milpitas,29706,2
3259,58th Ave,Millbrae,19151,1
5571,49th St,Santa Clara,72560,2
595,63rd Ave,Berkeley,12544,3
5613,62nd St,Los Gatos,26796,4
2763,86th Ave,Los Gatos,69533,2
7356,29th Ave,Oakland,94925,2
7116,81st Ave,Walnut Creek,62729,1
415,17th St,San Bruno,98175,1
5561,6th Ave,Redwood City,67161,3
678,Alpine St,Menlo Park,94264,2
790,22nd Ave,Antioch,91740,2
9470,6th Ave,Los Gatos,62273,3
4580,8th St,Menlo Park,20829,3
505,41st Ave,Union City,72416,3
678,Alpine St,Menlo Park,94264,4
5035,Orange Ln,Mountain View,70706,1
436,Indigo Ln,Santa Clara,47199,2
150,9th St,Santa Clara,98682,3
8558,79th St,Milpitas,23537,3
2320,7th Ave,Daly City,43942,2
869,24th St,Berkeley,71418,4
661,Ocean St,Menlo Park,79978,2
7055,9th Ave,Millbrae,50112,1
559,62nd Ave,Walnut Creek,55156,2
390,Indigo Ct,Millbrae,80292,8
871,1st Ave,Santa Clara,79821,2
674,Indigo Rd,San Jose,92788,4
206,4th St,Redwood City,54554,2
9054,2nd Ave,Mountain View,58244,2
9747,Indigo Rd,Milpitas,13795,2
4635,Mountain Ct,Palo Alto,74184,4
170,17th St,Berkeley,48854,4
3805,5th Ave,Pleasanton,81206,4
7880,River Ln,Union City,94302,1
1701,7th St,Antioch,60976,1
2458,2nd St,San Bruno,93658,3
8602,9th Ave,Redwood City,48895,4
6463,1st Ave,San Bruno,98065,2
1942,Forest Rd,San Jose,59183,1
7633,46th St,Hayward,52085,2
8896,6th Ave,Millbrae,58481,3
3953,8th St,Redwood City,79243,3
222,Blue St,San Jose,52411,3
769,2nd St,Cupertino,65439,1
1351,7th St,Milpitas,15914,2
193,7th St,San Bruno,48807,3
5012,7th St,Livermore,63882,1
6694,54th St,Union City,58864,2
275,Red Rd,Alameda,39827,4
655,Forest Ct,Union City,26606,1
811,6th Ave,Antioch,89083,4
164,9th St,Palo Alto,52471,2
7903,23rd Ave,Los Gatos,98687,3
3246,3rd Ave,Pleasanton,24293,3
237,18th Ave,Palo Alto,26330,1
4828,1st Ave,Pleasanton,48940,3
205,1st Ave,Sunnyvale,69557,3
964,5th Ave,Redwood City,27722,2
660,1st Ave,Emeryville,30132,2
117,Red Rd,Union City,22518,2
936,55th St,Emeryville,13966,4
3745,26th Ave,San Jose,91582,3
936,55th St,Emeryville,13966,1
4529,Tundra Ln,Redwood City,64137,2
595,63rd Ave,Berkeley,12544,1
7612,2nd Ave,Dublin,91301,2
464,Tundra Ln,Hayward,42413,3
8057,72nd St,Sunnyvale,38715,2
464,Tundra Ln,Hayward,42413,3
4173,90th Ave,Palo Alto,82546,4
6893,Red Ln,Dublin,28772,2
646,28th Ave,Emeryville,79987,3
1701,7th St,Antioch,60976,3
